cluster,gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj
6,Trav9-21,0.025926626440777,0.458,0.14,1.68510442007433E-65,3.37020884014866E-62
6,Cd200r12,0.575881868629744,0.488,0.229,2.17814214955535E-35,4.35628429911071E-32
6,Lhfp,0.226159823711096,0.426,0.149,4.10901045455278E-33,8.21802090910555E-30
7,Flt3,0.116923463321089,0.299,0.225,5.93268509409014E-12,1.18653701881803E-08
8,Hfe,0.001362784757636,0.158,0.044,2.84041024954201E-21,5.68082049908402E-18
8,Cfhr1,0.011447594916892,0.004,0,4.44245684151571E-16,8.88491368303143E-13
9,Il18bp,0.025217579756095,0.134,0.307,2.59002910146429E-18,5.18005820292858E-15
9,Gm19696,0.008194089481964,0.068,0.048,1.12968414400166E-05,0.022593682880033
10,Cd209a,0.013065016341332,0.003,0.001,3.17659704239919E-06,0.006353194084798
11,Gm5111,0.738340514718495,0.684,0.006,0,0
11,H19,0.580052334578641,0.425,0,0,0
11,6030498E09Rik,0.290340331444707,0.557,0.001,0,0
11,4930519L02Rik,0.206842591427714,0.467,0.006,0,0
11,Gm56622,0.191762048041717,0.509,0.001,0,0
11,Gm4632,3.24293545739587,0.972,0.137,1.6430993505508E-201,3.28619870110159E-198
11,2700054A10Rik,0.52505792195557,0.59,0.055,8.27906123303713E-166,1.65581224660743E-162
11,Nckap5,1.5799736329949,0.84,0.207,8.29988197061402E-129,1.6599763941228E-125
11,Pik3r6,0.002831370353893,0.241,0.009,2.09265904603247E-116,4.18531809206495E-113
